,GEO.display-label,HC03_VC30,HC03_VC31
204,"Los Angeles County, California",11.3,7.1
205,"Madera County, California",16.2,0.2
206,"Marin County, California",9.5,8.3
207,"Mariposa County, California",13.0,3.3
208,"Mendocino County, California",11.7,0.5
209,"Merced County, California",13.4,0.5
210,"Modoc County, California",11.8,0.0
211,"Mono County, California",12.9,3.2
212,"Monterey County, California",15.2,2.4
213,"Napa County, California",12.8,1.9
214,"Nevada County, California",9.9,0.5
215,"Orange County, California",10.7,3.0
216,"Placer County, California",9.6,1.1
217,"Plumas County, California",14.6,0.0
218,"Riverside County, California",14.6,1.4
219,"Sacramento County, California",13.1,3.1
220,"San Benito County, California",17.6,3.5
221,"San Bernardino County, California",15.1,1.8
222,"San Diego County, California",10.6,3.3
223,"San Francisco County, California",7.9,32.6
224,"San Joaquin County, California",15.2,1.4
225,"San Luis Obispo County, California",11.5,1.1
226,"San Mateo County, California",11.1,8.4
227,"Santa Barbara County, California",15.3,3.8
228,"Santa Clara County, California",10.2,3.3
229,"Santa Cruz County, California",11.4,3.0
230,"Shasta County, California",10.6,0.7
231,"Sierra County, California",12.4,0.0
232,"Siskiyou County, California",13.2,0.8
233,"Solano County, California",15.0,2.6
234,"Sonoma County, California",11.3,2.0
235,"Stanislaus County, California",11.2,0.8
236,"Sutter County, California",15.7,1.3
237,"Tehama County, California",11.6,1.0
238,"Trinity County, California",15.2,0.8
239,"Tulare County, California",17.0,0.8
240,"Tuolumne County, California",11.1,0.7
241,"Ventura County, California",12.4,1.2
242,"Yolo County, California",10.9,3.7
243,"Yuba County, California",13.2,0.6
244,"Adams County, Colorado",13.1,4.3
245,"Alamosa County, Colorado",11.1,0.0
246,"Arapahoe County, Colorado",9.1,4.4
247,"Archuleta County, Colorado",17.9,0.5
248,"Baca County, Colorado",11.6,0.4
249,"Bent County, Colorado",12.8,0.0
250,"Boulder County, Colorado",8.8,5.3
251,"Broomfield County, Colorado",8.5,4.9
252,"Chaffee County, Colorado",9.7,0.1
253,"Cheyenne County, Colorado",8.6,0.0
254,"Clear Creek County, Colorado",9.0,1.3
255,"Conejos County, Colorado",17.2,0.1
256,"Costilla County, Colorado",12.7,0.0
257,"Crowley County, Colorado",18.1,0.8
258,"Custer County, Colorado",9.3,0.0
259,"Delta County, Colorado",15.1,0.0
260,"Denver County, Colorado",10.1,7.8
261,"Dolores County, Colorado",6.9,0.0
262,"Douglas County, Colorado",7.2,2.1
263,"Eagle County, Colorado",8.1,6.9
264,"Elbert County, Colorado",11.8,0.3
265,"El Paso County, Colorado",9.6,1.3
266,"Fremont County, Colorado",18.5,0.1
267,"Garfield County, Colorado",18.2,4.6
268,"Gilpin County, Colorado",11.7,4.1
269,"Grand County, Colorado",12.3,0.1
270,"Gunnison County, Colorado",11.7,1.6
271,"Hinsdale County, Colorado",5.4,0.0
272,"Huerfano County, Colorado",12.1,0.5
273,"Jackson County, Colorado",12.5,0.0
274,"Jefferson County, Colorado",9.1,3.4
275,"Kiowa County, Colorado",9.8,0.0
276,"Kit Carson County, Colorado",10.9,0.0
277,"Lake County, Colorado",31.4,1.7
278,"La Plata County, Colorado",14.1,1.0
279,"Larimer County, Colorado",9.6,0.8
280,"Las Animas County, Colorado",14.1,0.4
281,"Lincoln County, Colorado",12.5,0.0
282,"Logan County, Colorado",11.3,0.1
283,"Mesa County, Colorado",12.7,0.5
284,"Mineral County, Colorado",12.8,0.0
285,"Moffat County, Colorado",19.1,2.1
286,"Montezuma County, Colorado",15.7,0.3
287,"Montrose County, Colorado",14.3,0.5
288,"Morgan County, Colorado",14.4,0.2
289,"Otero County, Colorado",13.1,0.0
290,"Ouray County, Colorado",15.0,0.0
291,"Park County, Colorado",15.0,2.1
292,"Phillips County, Colorado",16.5,0.0
293,"Pitkin County, Colorado",8.7,10.9
294,"Prowers County, Colorado",17.2,0.0
295,"Pueblo County, Colorado",11.8,0.6
296,"Rio Blanco County, Colorado",15.7,0.1
297,"Rio Grande County, Colorado",17.4,0.0
298,"Routt County, Colorado",14.3,2.1
299,"Saguache County, Colorado",17.8,0.3
300,"San Juan County, Colorado",22.9,0.0
301,"San Miguel County, Colorado",5.8,8.0
302,"Sedgwick County, Colorado",14.6,0.8
303,"Summit County, Colorado",11.1,7.5
304,"Teller County, Colorado",12.1,0.2
305,"Washington County, Colorado",13.4,0.5
306,"Weld County, Colorado",11.2,0.6
307,"Yuma County, Colorado",16.3,0.0
308,"Fairfield County, Connecticut",7.9,9.2
309,"Hartford County, Connecticut",8.7,3.4
310,"Litchfield County, Connecticut",7.3,1.2
311,"Middlesex County, Connecticut",7.2,1.6
312,"New Haven County, Connecticut",8.3,3.7
313,"New London County, Connecticut",9.6,2.6
314,"Tolland County, Connecticut",6.9,0.8
315,"Windham County, Connecticut",11.6,0.8
316,"Kent County, Delaware",11.5,1.2
317,"New Castle County, Delaware",9.7,4.5
318,"Sussex County, Delaware",9.3,0.5
319,"District of Columbia, District of Columbia",6.5,37.6
320,"Alachua County, Florida",11.1,3.4
321,"Baker County, Florida",11.4,0.6
322,"Bay County, Florida",11.4,0.5
323,"Bradford County, Florida",10.9,0.0
324,"Brevard County, Florida",9.0,0.4
325,"Broward County, Florida",9.9,2.7
326,"Calhoun County, Florida",12.7,0.0
327,"Charlotte County, Florida",10.0,0.3
328,"Citrus County, Florida",11.2,0.4
329,"Clay County, Florida",10.9,0.3
330,"Collier County, Florida",12.3,1.6
331,"Columbia County, Florida",11.9,0.2
332,"DeSoto County, Florida",19.6,13.0
333,"Dixie County, Florida",14.5,0.1
334,"Duval County, Florida",11.1,1.6
335,"Escambia County, Florida",10.9,0.8
336,"Flagler County, Florida",9.6,0.4
337,"Franklin County, Florida",19.2,0.9
338,"Gadsden County, Florida",16.3,0.1
339,"Gilchrist County, Florida",16.3,0.0
340,"Glades County, Florida",18.8,3.3
341,"Gulf County, Florida",11.1,0.8
342,"Hamilton County, Florida",11.4,0.0
343,"Hardee County, Florida",23.6,7.3
344,"Hendry County, Florida",19.2,12.8
345,"Hernando County, Florida",11.0,0.2
346,"Highlands County, Florida",13.8,2.0
347,"Hillsborough County, Florida",9.7,1.6
348,"Holmes County, Florida",17.1,0.8
349,"Indian River County, Florida",9.5,0.4
350,"Jackson County, Florida",11.0,0.2
351,"Jefferson County, Florida",15.5,0.4
352,"Lafayette County, Florida",10.9,0.7
353,"Lake County, Florida",10.5,0.2
354,"Lee County, Florida",14.3,1.0
355,"Leon County, Florida",11.2,1.4
