,GEO.display-label,HC03_VC30,HC03_VC31,HC03_VC32
297,"Rio Blanco County, Colorado",0.4,7.0,1.3
298,"Rio Grande County, Colorado",0.2,2.9,0.9
299,"Routt County, Colorado",2.5,4.9,4.3
300,"Saguache County, Colorado",0.9,6.3,2.5
301,"San Juan County, Colorado",1.8,29.4,19.9
302,"San Miguel County, Colorado",17.2,11.8,6.1
303,"Sedgwick County, Colorado",1.4,4.8,1.6
304,"Summit County, Colorado",5.5,7.7,2.9
305,"Teller County, Colorado",0.4,2.7,1.6
306,"Washington County, Colorado",0.7,5.2,1.3
307,"Weld County, Colorado",0.6,2.3,1.8
308,"Yuma County, Colorado",0.2,10.6,0.9
309,"Fairfield County, Connecticut",9.9,2.6,1.2
310,"Hartford County, Connecticut",3.6,2.2,1.2
311,"Litchfield County, Connecticut",1.4,2.7,0.8
312,"Middlesex County, Connecticut",1.7,2.9,1.1
313,"New Haven County, Connecticut",4.2,3.7,1.3
314,"New London County, Connecticut",1.6,4.1,1.3
315,"Tolland County, Connecticut",2.1,4.7,0.6
316,"Windham County, Connecticut",0.6,3.5,0.8
317,"Kent County, Delaware",1.2,1.7,1.0
318,"New Castle County, Delaware",4.3,2.3,1.0
319,"Sussex County, Delaware",0.9,2.2,1.6
320,"District of Columbia, District of Columbia",37.4,12.9,5.2
321,"Alachua County, Florida",4.5,3.3,4.8
322,"Baker County, Florida",0.1,0.7,0.6
323,"Bay County, Florida",0.7,1.7,2.0
324,"Bradford County, Florida",0.1,2.4,0.4
325,"Brevard County, Florida",0.6,1.1,2.7
326,"Broward County, Florida",3.1,1.2,2.0
327,"Calhoun County, Florida",0.0,0.2,2.6
328,"Charlotte County, Florida",0.3,0.8,4.9
329,"Citrus County, Florida",0.4,1.0,2.5
330,"Clay County, Florida",0.2,1.1,1.1
331,"Collier County, Florida",2.6,1.5,3.3
332,"Columbia County, Florida",0.1,0.9,1.6
333,"DeSoto County, Florida",6.2,2.0,2.6
334,"Dixie County, Florida",0.0,1.3,1.7
335,"Duval County, Florida",1.8,1.2,2.0
336,"Escambia County, Florida",0.6,2.0,1.6
337,"Flagler County, Florida",0.2,0.5,2.1
338,"Franklin County, Florida",0.7,3.7,3.2
339,"Gadsden County, Florida",0.5,0.9,2.7
340,"Gilchrist County, Florida",0.6,0.8,1.4
341,"Glades County, Florida",0.4,5.9,1.0
342,"Gulf County, Florida",0.0,1.1,1.7
343,"Hamilton County, Florida",0.0,1.4,2.5
344,"Hardee County, Florida",2.5,2.3,3.7
345,"Hendry County, Florida",7.9,2.2,5.2
346,"Hernando County, Florida",0.1,1.0,1.3
347,"Highlands County, Florida",2.3,1.8,1.4
348,"Hillsborough County, Florida",1.4,1.6,2.0
349,"Holmes County, Florida",0.3,1.4,0.4
350,"Indian River County, Florida",0.3,1.1,1.9
351,"Jackson County, Florida",0.1,1.4,1.5
352,"Jefferson County, Florida",0.1,1.4,0.1
353,"Lafayette County, Florida",0.6,0.6,1.7
354,"Lake County, Florida",0.3,1.1,1.5
355,"Lee County, Florida",1.1,1.0,2.9
356,"Leon County, Florida",1.9,2.4,1.7
357,"Levy County, Florida",0.3,1.6,1.3
358,"Liberty County, Florida",3.4,2.8,2.0
359,"Madison County, Florida",0.0,5.0,4.2
360,"Manatee County, Florida",0.9,1.5,2.0
361,"Marion County, Florida",0.2,1.4,1.9
362,"Martin County, Florida",0.3,1.8,2.3
363,"Miami-Dade County, Florida",5.5,2.2,1.9
364,"Monroe County, Florida",2.2,4.4,10.7
365,"Nassau County, Florida",0.2,1.5,2.8
366,"Okaloosa County, Florida",0.5,1.7,3.5
367,"Okeechobee County, Florida",0.8,2.2,1.9
368,"Orange County, Florida",3.0,1.1,2.1
369,"Osceola County, Florida",1.6,0.6,2.0
370,"Palm Beach County, Florida",2.0,1.5,2.0
371,"Pasco County, Florida",0.4,1.0,1.9
372,"Pinellas County, Florida",1.7,1.6,2.7
373,"Polk County, Florida",0.5,1.2,2.2
374,"Putnam County, Florida",0.7,1.2,1.7
